id,name,elements,hmin,hmax,dmeas,dmeas2,colour,csystem,discovery_year,entrytype
374,Arsenuranylite,"As,Ca,O,H,U",2,3,0,0,"Orange",Orthorhombic,1958,0
376,Arthurite,"As,Cu,Fe,O,H",3,4,3.2,3.2,"Apple-green, emerald-green, pale olive-green.",Monoclinic,1954,0
377,Artinite,"Mg,O,C,H",2.5,2.5,2.01,2.03,"White; colourless in transmitted light",Monoclinic,1902,0
378,Artroeite,"Al,Pb,O,F,H",2.5,2.5,5.36,5.36,"Colourless",Triclinic,1993,0
379,Arupite,"Ni,O,P,H",1.5,2,0,0,"Blue to light blue",Monoclinic,1990,0
380,Arzakite,"Br,Cl,Hg,S",2,2.5,0,0,"Colorless to yellow",Monoclinic,1984,0
381,Arzrunite,"Cl,Cu,Pb,O,S,H",,,0,0,"Blue, blue-green",Orthorhombic,,0
382,Asbecasite,"As,Be,Ca,Si,Sn,Ti,O",6.5,7,3.70,3.70,"Yellow, pale yellow",Trigonal,1963,0
383,Asbestos,"",,,0,0,,,,0
384,Asbolane,"Co,Mn,Ni,O,H",,,0,0,"Bluish to brownish black",Hexagonal,1847,0
385,Asbophite,"",,,0,0,,,,0
386,Aschamalmite,"Bi,Pb,S",3.5,3.5,0,0,"Lead-grey",Monoclinic,1983,0
387,Ashanite,"Fe,Mn,Nb,Ta,O,U",5.5,6.5,6.61,6.61,"Dark brown to pitch-black; brownish red in thin section",Orthorhombic,,0
388,Ashburtonite,"Cl,Cu,Pb,Si,O,C,H",,,0,0,"Blue",Tetragonal,1991,0
389,Ashcroftine-(Y),"Ca,Na,Si,O,C,K,H,Y",5,5,2.61,2.61,"Pink",Tetragonal,1924,0
390,Ashtonite,"",,,0,0,,,,0
391,Asisite,"Cl,Pb,Si,O",3.5,3.5,0,0,"Yellow to yellow-green, red",Tetragonal,1988,0
393,Aspasiolite,"",,,0,0,,,,0
394,Asperolite,"Cu,Si,O,H",,,0,0,,,,0
397,Asselbornite,"As,Bi,Pb,O,H,U",3,3,0,0,"Brown to lemon-yellow",Isometric,1980,0
399,Asteriated Ruby,"",,,0,0,,,,0
404,Astrocyanite-(Ce),"Ce,Cu,La,Nd,O,C,H,U",2,3,3.80,3.80,"Bright blue",Hexagonal,1989,0
405,Astrophyllite,"Fe,Na,Si,Ti,O,K,F,H",3,3,3.2,3.4,"Bronze-yellow, golden yellow, brown to reddish brown",Triclinic,1844,0
406,Atacamite,"Cl,Cu,O,H",3,3.5,3.745,3.776,"Bright green, dark emerald-green to blackish green; shades of green in transmitted light.",Orthorhombic,1801,0
407,Atelestite,"As,Bi,O,H",4.5,5,7.14,7.14,"Sulphur-yellow to yellowish-green, wax-yellow, yellow-brown",Monoclinic,1832,0
408,Athabascaite,"Cu,Se",2.5,2.5,0,0,"Light grey, bluish-grey to white",Orthorhombic,1949,0
409,Atheneite,"As,Hg,Pd",5,5,10.2,10.2,"Grey",Hexagonal,1974,0
410,Atheriastite,"Al,Ca,Fe,Mg,Si,O,H",,,0,0,"Spanish green",,,0
411,Atlasite,"Cl,Cu,O,C,H",,,0,0,,,,0
412,Atlasovite,"Bi,Cl,Cu,Fe,O,K,S",2,2.5,4.20,4.20,"Dark brown",Tetragonal,,0
413,Atokite,"Pd,Sn",4.5,4.5,0,0,"Light cream",Isometric,1975,0
415,Attakolite,"Al,Ca,Mn,Si,O,P,H",5,5,3.09,3.23,"Pale red, white to pink",Monoclinic,1868,0
416,Aubertite,"Al,Cl,Cu,O,S,H",2,3,1.815,1.815,"Azure-blue.",Triclinic,1978,0
418,Auerlite,"Si,Th,O,P",,,0,0,,,,0
419,Augite,"Ca,Fe,Mg,Si,O",5.5,6,3.19,3.56,"Brown-green, black, green-black, brown, purplish brown",Monoclinic,1792,0
420,Augite-Bronzite,"",,,0,0,,,,0
421,Auralite,"",,,0,0,,,,0
422,Aurichalcite,"Cu,Zn,O,C,H",1,2,3.96,3.96,"Pale green, sky blue, or greenish blue; colourless to light shades of blue or green in transmitted light",Monoclinic,1839,0
423,Auricupride,"Au,Cu",3.5,3.5,11.5,11.5,"Yellow with a reddish tint; in reflected light, violet-rose",Isometric,1950,0
426,Aurobismuthinite,"",,,0,0,,,,0
427,Aurocuproite,"",,,0,0,,,,0
428,Aurorite,"Mn,O,H",2,3,0,0,"Black, pale brown in transmitted light at the edges of very thin, platy grains",Trigonal,1967,0
430,Aurostibite,"Au,Sb",3,3,9.98,9.98,"White",Isometric,1952,0
431,Austenite,"Fe,C",,,0,0,,,,0
432,Austinite,"As,Ca,Zn,O,H",4,4.5,4.13,4.13,"Colorless to pale yellowish white or bright green; colourless in transmitted light.",Orthorhombic,1935,0
433,Autunite,"Ca,O,P,H,U",2,2.5,3.05,3.2,"Yellow, greenish-yellow, pale green; dark green, greenish black.",Orthorhombic,1852,0
437,Avicennite,"Tl,O",1.5,2.5,8.9,8.9,"Greyish black with brownish black tint",Isometric,1958,0
438,Avogadrite,"B,K,F",,,0,0,"Colourless to white, yellowish to reddish when impure, colourless in transmitted light",Orthorhombic,1926,0
439,Awaruite,"Fe,Ni",5,5,7.8,8.22,"Silver-white to grayish white",Isometric,1885,0
441,Ayasite,"",,,0,0,,,,0
442,Azoproite,"Fe,Mg,Ti,B,O",5.5,5.5,3.63,3.63,"Black",Orthorhombic,1970,0
444,Azovskite,"Fe,O,P,H",4,4,2.5,2.5,"Dark brown; brown-red in transmitted light.",,,0
447,Azurite,"Cu,O,C,H",3.5,4,3.77,3.77,"Azure blue, blue, light blue, or dark blue; light blue in transmitted light",Monoclinic,1824,0
448,Azurmalachite,"",,,0,0,,,,0
449,Ånnerødite,"",,,0,0,,,1881,0
451,Augelite,"Al,O,P,H",4.5,5,2.696,2.696,"White, colourless, pale yellow, light green, rarely blue or pink; colourless in transmitted light.",Monoclinic,1868,0
452,Almandine,"Al,Fe,Si,O",7,7.5,4.318,4.318,"Deep red, brownish red, red-violet, black",Isometric,,0
453,Ashoverite,"Zn,O,H",,,3.3,3.3,"Colourless, milky",Tetragonal,1988,0
455,Arandisite,"Si,Sn,O,H",5,5,0,0,"pale green through bright green to deep grayish green, with bright apple green as the predominant shade",,1929,0
456,Anandite,"Al,Ba,Fe,Mg,Si,O,K,S,H",3,4,3.91,3.94,"Black",Monoclinic,1967,0
457,Ba-Mordenite,"Al,Ba,Si,O,H",,,0,0,,,,0
458,Ba-Priderite,"Ba,Fe,Ti,O,K",,,0,0,,,,0
462,Barytolamprophyllite,"Ba,Fe,Na,Si,Ti,O,F,H",2,3,3.62,3.66,"Dark brown",Monoclinic,1965,0
463,Barium-Hydroxylapatite,"Ba,O,P,H",,,0,0,,,,0
466,Barytocalcite,"Ba,Ca,O,C",4,4,3.66,3.71,"Colourless, white, greyish, greenish, light yellow",Monoclinic,1824,0
467,Barium-Hamlinite,"Al,Ba,O,P,H",,,0,0,,,,0
468,Barium-Nepheline,"Al,Ba,Si,O",,,0,0,,Hexagonal,,0
469,Barium-Natrolite,"Al,Ba,Si,O,H",,,0,0,,,,0
470,Barium-Uranophane,"",,,0,0,,,,0
472,Bariopharmacosiderite,"As,Ba,Fe,O,H",2.5,2.5,3.05,3.05,"Brown, yellow, reddish brown, reddish, greenish, bluish",Tetragonal,,0
473,Barium-Oxyapatite,"Ba,O,P",,,0,0,,,,0
476,Babefphite,"Ba,Be,O,P,F,H",3.5,3.5,4.31,4.31,"White",Triclinic,1966,0
478,Babingtonite,"Ca,Fe,Mn,Si,O,H",5.5,6,3.34,3.37,"Dark greenish-black",Triclinic,1824,0
479,Baddeckite,"",,,0,0,,,,0
480,Baddeleyite,"Zr,O",6.5,6.5,5.4,6.02,"Colourless to yellow, green, greenish or reddish brown, brown, iron-black; colourless to brown in transmitted light",Monoclinic,1892,0
481,Badenite,"",,,0,0,,,,0
482,Bafertisite,"Ba,Fe,Si,Ti,O,F,H",5,5,3.96,4.25,"Red, yellowish-red, light brown",Triclinic,1959,0
483,Baghdadite,"Ca,Si,Zr,O",6,6,0,0,"Colourless, pale brown, beige, pale yellowish",Monoclinic,,0
484,Bahianite,"Al,Sb,O,H",9,9,4.78,5.46,"Tan, cream, orange-brown, brown; crystals colourless, tan, pale violet; yellow internal reflections in transmitted light",Monoclinic,1978,0
486,Baikerite,"",,,0,0,,,,0
487,Baikovite,"Ti,Mg,O",,,0,0,,Isometric,,0
488,Baileychlore,"Al,Fe,Mg,Si,Zn,O,H",2.5,3,3.182,3.182,"Green, yellow-green, light blue",Triclinic,1988,0
491,Bakhilite,"",,,0,0,,,,0
492,Balangeroite,"Fe,Mg,Mn,Si,O,H",,,2.96,3.10,"Brown",Monoclinic,1983,0
494,Balavinskite,"Sr,B,O,H",,,0,0,,,,0
495,Balipholite,"Al,Ba,Li,Mg,Si,O,H",5,5.5,3.32,3.35,"Pale yellowish-white",Orthorhombic,1975,0
496,Balkanite,"Ag,Cu,Hg,S",3.5,3.5,6.318,6.318,"Steel Grey",Monoclinic,1973,0
497,Balkhashite,"",,,0,0,,,,0
500,Balvraidite,"",,,0,0,,,,0
501,Balyakinite,"Cu,Te,O",3.5,3.5,5.6,5.6,"Greyish-green, bluish-green",Orthorhombic,1980,0
502,Bambollaite,"Cu,Se,Te",3,3,0,0,"Brownish-grey",Tetragonal,1972,0
504,Banalsite,"Al,Ba,Na,Si,O",6,6,0,0,"White",Orthorhombic,1944,0
505,Bandjaspis,"",,,0,0,,,,0
506,Bandylite,"Cl,Cu,B,O,H",2.5,2.5,2.81,2.81,"Deep blue with greenish portions; cendre blue to Italian blue, becoming greener with atacamite inclusions; blue in transmitted light.",Tetragonal,1938,0
507,Bannermanite (of Thompson),"O,V",,,0,0,"Pink",,,0
508,Bannermanite,"Na,O,K,V",,,3.5,3.5,"Black, light brown on thin edges in transmitted light",Monoclinic,1983,0
509,Bannisterite,"Al,Ca,Fe,Mn,Na,Si,O,K,H",4,4,2.83,2.84,"Dark brown",Monoclinic,1967,0
510,Baotite,"Ba,Cl,Nb,Si,Ti,O,W",6,6,4.42,4.71,"Light Brown, black",Tetragonal,1959,0
511,Bararite,"Si,N,F,H",2.5,2.5,2.152,2.152,"White; colourless in thin section",Trigonal,1951,0
512,Baratovite,"Ca,Li,Si,Ti,Zr,O,K,F",5,6,2.92,2.92,"White, colorles, pink",Monoclinic,1975,0
513,Barberiite,"N,B,F,H",1,1,1.89,1.89,"Colourless",Orthorhombic,1994,0
516,Barbosalite,"Fe,O,P,H",5.5,6,3.60,3.62,"Black to dark blue-green, green, blue green, green blue, greenish black, black",Monoclinic,1954,0
517,Barcenite,"",5.5,5.5,0,0,"Dark gray, nearly black",,1878,0
518,Bardiglio,"",,,0,0,,,,0
519,Bardolite,"Al,Fe,Mg,Si,O,K",,,0,0,,,,0
520,Barentsite,"Al,Na,O,C,F,H",3,3,2.56,2.56,"Colourless",Triclinic,1983,0
521,Barettite,"Ca,Fe,Mg,Si,O,H",,,0,0,,,1994,0
522,Bariandite,"Al,O,H,V",,,2.7,2.7,"Black to dark green",Monoclinic,,0
524,Barićite,"Fe,Mg,O,P,H",1.5,2,2.35,2.42,"Pale blue, medium blue, colorless",Monoclinic,,0
525,Bario-orthojoaquinite,"Ba,Fe,Si,Sr,Ti,O,H",5,5.5,3.959,3.959,"Yellow-brown",Orthorhombic,1982,0
533,Barnesite,"Ca,Na,O,H,V",3,3,3.09,3.15,"Brilliant dark red; brownish red on exposure",Monoclinic,,0
534,Barnhardtite,"",,,0,0,,,,0
536,Barrerite,"Al,Na,Si,O,H",3,4,2.3,2.3,"White, Pink",Orthorhombic,1974,0
537,Barringerite,"Fe,Ni,P",7,7,0,0,"Yellowish gray",Hexagonal,,0
538,Barringtonite,"Mg,O,C,H",,,0,0,,Triclinic,1965,0
539,Barroisite,"Al,Ca,Mg,Na,Si,O,H",5,6,0,0,"Bluish-green to green.",Monoclinic,1922,0
540,Barstowite,"Cl,Pb,O,C,H",3,3,5.71,5.71,"Transparent to white",Monoclinic,,0
541,Bartelkeite,"Fe,Ge,Pb,O,H",4,4,0,0,"Colourless, white to very pale greenish",Monoclinic,,0
543,Bartholomite,"Na,Fe,O,S,H",,,0,0,"Yellow.",,,0
544,Bartonite,"Fe,K,S",3.5,3.5,3.305,3.305,"Blackish-brown",Tetragonal,1978,0
545,Barylite,"Ba,Be,Si,O",7,7,4.066,4.066,"Bluish white, colourless",Orthorhombic,1876,0
546,Barysilite,"Mn,Pb,Si,O",3,3,6.55,6.71,"White, pink to colorless; tarnishes on exposure",Trigonal,1888,0
549,Baryte,"Ba,O,S",3,3,4.50,4.50,"Colourless, white, yellow, brown, grey, blue, etc.; colourless in transmitted light (also tinted yellow, brown, green, blue, etc.)",Orthorhombic,,0
550,Baryto-Fluate of Lime,"",,,0,0,,,,0
553,Barytocalcite (of Kirwan),"",,,0,0,,,,0
554,Basaltic Hornblende,"",,,0,0,,,,0
556,Basiliite,"",,,0,0,"Steel-blue; blood-red in thin splinters",,1892,0
557,Bassanite,"Ca,O,S,H",,,2.69,2.76,"White",Monoclinic,1910,0
558,Bassetite,"Fe,O,P,H,U",2.5,2.5,3.40,3.63,"brownish yellow, olive-green, yellow, bronze-yellow.",Monoclinic,1915,0
560,Bastnäsite-(Ce),"Ce,O,C,F",4,4.5,4.9,5.2,"Yellow, reddish-brown; colourless to light yellow in transmitted light",Hexagonal,,0
561,Bastnäsite-(La),"La,O,C,F",4,5,0,0,,Hexagonal,,0
562,Bastnäsite-(Y),"O,C,F,Y",4,4.5,0,0,"Translucent brick-red",Hexagonal,,0
564,Bastonite,"Al,Fe,Mg,Si,O,K,H",,,0,0,,,,0
567,Bathvillite,"",,,0,0,,,,0
568,Batisite,"Ba,Na,Si,Ti,O",5.5,6,3.432,3.432,"Dark brown",Orthorhombic,1959,0
570,Bauerite,"Si,O",7,7,0,0,,Trigonal,,0
571,Argentobaumhauerite,"Ag,As,Pb,S",3,3,0,0,"Steel grey",Triclinic,,0
572,Baumhauerite,"As,Pb,S",3,3,5.33,5.44,"Lead-grey, steel-grey; iridescent at times",Triclinic,1902,0
574,Bauranoite,"Ba,O,H,U",5,5,5.283,5.42,"Reddish brown",,,0
577,Bavenite,"Al,Be,Ca,Si,O,H",5.5,5.5,2.71,2.74,"White",Orthorhombic,1901,0
578,Bayankhanite,"Cu,Hg,S",3,3.5,0,0,"Pale brown/bluish-grey",,,0
580,Bayerite,"Al,O,H",,,2.53,2.53,"White",Monoclinic,,0
581,Bayldonite,"As,Cu,Pb,O,H",4.5,4.5,5.24,5.65,"Green, apple-green, yellow-green; dark green to black (crystals)",Monoclinic,1865,0
582,Bayleyite,"Mg,O,C,H,U",2,2.5,2.05,2.05,"Yellow, whitish yellow",Monoclinic,1948,0
583,Baylissite,"Mg,O,C,K,H",2,3,2.01,2.01,"Colourless",Monoclinic,1976,0
584,Bazhenovite,"Ca,O,S,H",2,2,1.83,1.83,"Orange to yellow",Monoclinic,,0
585,Bazirite,"Ba,Si,Zr,O",6,6.5,0,0,"Colourless",Hexagonal,1975,0
586,Bazzite,"Be,Sc,Si,O",6.5,7,2.77,2.8,"Deep blue or other shades of blue, blue-green.",Hexagonal,1915,0
589,Bearsite,"As,Be,O,H",,,1.8,2.0,"White",Monoclinic,1962,0
590,Bearthite,"Al,Ca,O,P,H",4,5,0,0,"Pale yellow",Monoclinic,1986,0
591,Beaverite-(Cu),"Cu,Fe,Pb,O,S,H",3.5,4.5,4.36,4.36,"Yellow",Trigonal,1911,0
593,Bechererite,"Cu,Si,Zn,O,S,H",2,3,3.45,3.45,"Light green, ice blue, colourless",Trigonal,,0
594,Bechilite,"Ca,B,O,H",,,0,0,,,,0
597,Becquerelite,"Ca,O,H,U",2.5,2.5,5.09,5.2,"Amber-yellow, golden to lemon-yellow, yellow-orange, brownish yellow; yellow in transmitted light",Orthorhombic,,0
598,Bedenite,"",,,0,0,,,,0
599,Beegerite,"Bi,Pb,S",,,7.27,7.27,"Light to dark gray",,,0
602,Béhierite,"Nb,Ta,B,O",7,7.5,7.86,7.86,"Greyish pink; pale lilac; colorless to white",Tetragonal,1959,0
603,Behoite,"Be,O,H",4,4,1.92,1.92,"Colourless or white, rarely pale pink to pale grey; may show anomalous blue and brown interference colours in transmitted light",Orthorhombic,,0
604,Beidellite,"Al,Ca,Na,Si,O,H",1,2,2,3,"White, reddish, brownish-grey",Monoclinic,1925,0
605,Beiyinite,"",,,0,0,,,,0
606,Belbaite,"",,,0,0,,,,0
607,Beldongrite,"Fe,Mn,O,H",,,0,0,,,,0
608,Belendorffite,"Cu,Hg",2.5,4,13.2,13.2,"Silvery",Trigonal,1992,0
609,Belkovite,"Ba,Nb,Si,Ti,O",6,7,4.16,4.16,"Brown",Hexagonal,1991,0
610,Bellbergite,"Al,Ba,Ca,Na,Si,Sr,O,K,H",5,5,2.2,2.2,"Colourless to white",Hexagonal,1993,0
611,Bellidoite,"Cu,Se",1.5,2,0,0,"Creamy-white",Tetragonal,1975,0
612,Bellingerite,"Cu,O,H,I",4,4,4.88,4.9,"Green, light green; light bluish green in transmitted light",Triclinic,1940,0
614,Belmontite,"Pb,Si,O",,,0,0,,,,0
615,Belomorite,"",,,,,,,,0
616,Belonite (of Zirkel),"",,,0,0,,,,0
617,Belonosphärite,"",,,0,0,,,,0
618,Belovite-(Ce),"Ce,Na,Sr,O,P,F",5,5,4.19,4.19,"Honey-yellow, greenish yellow; in transmitted light colourless to slightly yellow",Trigonal,,0
619,Belyankinite,"Ca,Nb,Ti,O,H",2,3,2.32,2.4,"White, light yellow to brownish-yellow; black when manganese-rich",Amorphous,,0
621,Bementite,"Mn,Si,O,H",6,6,2.9,3.1,"Brown, dark brown, golden brown, grayish-yellow",Monoclinic,1887,0
622,Benauite,"Fe,Sr,O,P,H",3.5,3.5,3.65,3.65,"Yellow to brown",Trigonal,,0
623,Benavidesite,"Mn,Pb,Sb,S",2.5,2.5,0,0,"Lead Grey",Monoclinic,1982,0
624,Benitoite,"Ba,Si,Ti,O",6,6.5,3.65,3.65,"Sapphire blue, white to colorless, pink",Hexagonal,1907,0
625,Benjaminite,"Ag,Bi,S",3.5,3.5,6.34,6.34,"Grey; tarnishes dull or yellow to copper-red",Monoclinic,1924,0
626,Benstonite,"Ba,Ca,Mg,O,C",3,4,3.956,3.956,"White to ivory, very pale yellow, pale yellowish brown",Trigonal,1961,0
627,Bentorite,"Ca,Cr,O,S,H",2,2,2.025,2.025,"Violet to rose-purple",Trigonal,1975,0
628,Beraunite,"Fe,O,P,H",3,4,2.8,3.08,"Dark red, reddish, brown-red",Monoclinic,1841,0
629,Berborite,"Be,B,O,F,H",3,3,2.200,2.200,"Colourless",Trigonal,1967,0
630,Berdesinskiite,"Ti,O,V",6,6.5,0,0,"Black",Monoclinic,1980,0
631,Bergenite,"Ba,Ca,O,P,H,U",,,0,0,"Yellow",Monoclinic,1959,0
632,Bergslagite,"As,Be,Ca,O,H",5,5,3.4,3.4,"Colourless, white, grey, dark grey-brown, brownish black, green, pink",Monoclinic,1975,0
633,Berlinite,"Al,O,P",6.5,6.5,2.64,2.66,"Colourless, greyish or pale pink; colourless in transmitted light.",Trigonal,1868,0
634,Bermanite,"Mn,O,P,H",3.5,3.5,2.84,2.85,"Reddish-brown; yellowish brown to brownish red with red internal reflections in transmitted light",Monoclinic,1936,0
635,Bernalite,"Fe,O,H",4,4,3.32,3.32,"Dark bottle-green to yellow-green; yellowish bottle-green in thin section",Orthorhombic,1992,0
636,Bernardite,"As,Tl,S",2,2,4.5,4.5,"Black",Monoclinic,1987,0
637,Berndtite,"Sn,S",1,2,4.5,4.5,"Yellow-brown",Trigonal,,0
638,Berryite,"Ag,Bi,Cu,Pb,S",3.5,3.5,6.7,6.7,"Bluish-grey, white, grey-white",Monoclinic,1952,0
639,Berthierine,"Al,Fe,Si,O,H",2.5,2.5,0,0,"Dark olive green, yellowish green; reddish brown (Ti-bearing variety)",Monoclinic,,0
640,Berthierite,"Fe,Sb,S",2,3,4.64,4.64,"Dark steel-grey, often with iridescent tarnish.",Orthorhombic,1827,0
641,Bertossaite,"Al,Ca,Fe,Li,Mn,Na,O,P,F,H",6,6,3.10,3.10,"Pale pink",Orthorhombic,1965,0
642,Bertrandite,"Be,Si,O,H",6,7,2.59,2.6,"Colourless, pale yellow",Orthorhombic,1883,0
643,Beryllite,"Be,Si,O,H",1,1,2.196,2.196,"White",Orthorhombic,1954,0
644,Beryllonite,"Be,Na,O,P",5.5,6,2.77,2.85,"Colourless, white, rarely pale light yellow; colourless in transmitted light.",Monoclinic,1888,0
645,Berzelianite,"Cu,Se",2,2,6.71,6.71,"Silver-White, shiny lead-grey; easily tarnishes iridescent blue-grey",Isometric,1832,0
646,Berzeliite,"As,Ca,Mg,Na,O",4.5,5,4.08,4.27,"Yellow, Orange, colorless, brownish-orange; colorless to orange in transmitted light.",Isometric,1840,0
647,Paralomonosovite,"Na,Si,Ti,O,P,F,H",4,4,2.98,2.98,"Yellowish-brown, rose, brown",Triclinic,1938,0
650,Betekhtinite,"Cu,Fe,Pb,S",3,3.5,5.96,6.05,"Black",Orthorhombic,1955,0
651,Betpakdalite-CaCa,"As,Ca,Fe,Mo,O,H",3,3,2.98,3.05,"Lemon-yellow with greenish tint",Monoclinic,1961,0
652,Beudantite,"As,Fe,Pb,O,S,H",3.5,4.5,4.48,4.48,"Black, dark green, brown, dark yellow, red, greenish yellow, brown",Trigonal,1826,0
653,Beusite,"Mn,O,P",5,5,3.60,3.70,"Reddish-brown to pinkish brown",Monoclinic,1968,0
654,Beyerite,"Bi,Ca,O,C",2,3,6.56,6.56,"White to bright yellow, or greyish-green, grey; light yellow to colourless in transmitted light",Orthorhombic,1943,0
656,Bezsmertnovite,"Ag,Au,Cu,Pb,Te",4.5,4.5,0,0,"Yellow",Orthorhombic,1979,0
657,Bhreckite,"Ca,Fe,Mg,Si,O,H",,,0,0,,,,0
658,Bismutohauchecornite,"Bi,Ni,S",4.5,5.5,0,0,"Bronze-yellow",Tetragonal,1978,0
660,Bianchite,"Zn,O,S,H",2.5,2.5,2.03,2.07,"White, Yellowish; colourless in transmitted light.",Monoclinic,1930,0
661,Bicchulite,"Al,Ca,Si,O,H",,,2.75,2.75,"Colourless to white, gray",Isometric,1973,0
662,Bideauxite,"Ag,Cl,Pb,O,F,H",3,3,6.274,6.274,"Colourless, becoming pale lavender on exposure to light",Isometric,,0
663,Bismutotantalite,"Bi,Nb,Ta,O",5,5.5,8.15,8.89,"Light brown to pitch-black; very thin splinters are light smoke-grey to colourless in transmitted light",Orthorhombic,1929,0
664,Bieberite,"Co,O,S,H",2,2,1.96,1.96,"Red-pink, flesh-red; colourless to pale rose in transmitted light.",Monoclinic,1845,0
665,Bismutomicrolite (of Hogarth 1977),"",5,5,6.5,6.5,"Yellow, pink, brown; dark grey to black",Isometric,1977,0
666,Bielzite,"",,,0,0,,,,0
667,Bismutoferrite,"Bi,Fe,Si,O,H",6,6,4.47,4.47,"yellow, green",Monoclinic,1871,0
668,Biharite,"",,,0,0,,,,0
669,Bijvoetite-(Y),"O,C,H,U,Y",2,2,3.9,3.9,"Yellow",Monoclinic,,0
670,Bikitaite,"Al,Li,Si,O,H",6,6,2.28,2.34,"Colorless, White",Triclinic,1957,0
671,Bilibinite,"",,,0,0,,,,0
672,Bilibinskite,"Au,Cu,Pb,Te",4.5,4.5,12.7,12.7,"Light brown, rose brown",Isometric,1978,0
673,Bílinite,"Fe,O,S,H",2,2,1.875,1.99,"White to yellowish",Monoclinic,1913,0
674,Billietite,"Ba,O,H,U",,,5.28,5.36,"Yellow to golden-yellow, amber-yellow, orange-yellow",Orthorhombic,,0
675,Billingsleyite,"Ag,As,S",2.5,2.5,5.92,5.92,"Dark lead-grey",Isometric,1968,0
676,Bindheimite,"Pb,Sb,O",4,4.5,4.6,8.4,"Yellow, yellow-brown, brown, white, grey, greenish; colourless to yellow and brown in transmitted light",Isometric,1800,0
678,Biphosphammite,"N,O,P,H",1,2,2.04,2.04,"White, pale yellow or colorless; colorless in transmitted light.",Tetragonal,1870,0
679,Biringuccite,"Na,B,O,H",,,2.32,2.32,"White to pale yellow.",Monoclinic,1961,0
680,Birnessite,"Ca,Mn,Na,O,H",1.5,1.5,3,3,"Black; dark brown in transmitted light",Monoclinic,1956,0
681,Bischofite,"Cl,Mg,O,H",1,2,1.591,1.604,"Colourless to white; colourless in transmitted light",Monoclinic,1877,0
682,Bismite,"Bi,O",4.5,4.5,8.64,9.22,"Greyish green, greenish yellow to bright yellow",Monoclinic,1868,0
683,Bismoclite,"Bi,Cl,O",2,2.5,7.36,7.36,"Cream-white, grayish-white, light yellowish-brown; colorless in thin section",Tetragonal,1935,0
684,Bismuth,"Bi",2,2.5,9.7,9.83,"Reddish-white to creamy-white; tarnishes iridescent pinkish, yellowish or bluish",Trigonal,1546,0
685,Bismuth Ochre,"",,,,,,,,0
686,Bismuthinite,"Bi,S",2,2.5,6.78,6.78,"Lead gray to tin white",Orthorhombic,1832,0
687,Bismutite,"Bi,O,C",2.5,3.5,6.7,7.4,"Yellow to brown, greenish, green-grey, grey or black; colourless or tinted in shades of faint yellow, green, etc. in transmitted light.",Orthorhombic,1841,0
688,Bismutocolumbite,"Bi,Nb,Ta,O",5.5,5.5,7.17,7.17,"Black; brown in transmitted light",Orthorhombic,,0
689,Bityite,"Al,Be,Ca,Li,Si,O,H",5.5,5.5,3.05,3.05,"White, yellowish, colourless, brownish",Monoclinic,1908,0
691,Bixbyite-(Mn),"Mn,O",6,6.5,4.945,4.945,"Black",Isometric,1897,0
692,Bjarebyite,"Al,Ba,Fe,Mg,Mn,Sr,O,P,H",4,4,3.90,3.95,"Emerald green",Monoclinic,1973,0
693,Blakeite,"Fe,Te,O",2,3,0,0,"Brown or dark reddish brown; golden yellow to yellowish brown and brown in transmitted light.",,,0
694,Blatterite,"Fe,Mg,Mn,Sb,B,O",6,6,0,0,"Black",Orthorhombic,1984,0
695,Blödite,"Mg,Na,O,S,H",2.5,3,2.218,2.24,"Colourless, bluish-green, reddish; colourless in transmitted light.",Monoclinic,,0
696,Blixite,"Cl,Pb,O,H",3,3,7.35,7.35,"Pale yellow, yellow-orange to greyish yellow",Orthorhombic,,0
697,Blossite,"Cu,O,V",,,3.95,3.97,"Black",Orthorhombic,,0
700,Bobfergusonite,"Al,Fe,Mn,Na,O,P",4,4,3.54,3.54,"Green-brown to red-brown",Monoclinic,1984,0
701,Bobierrite,"Mg,O,P,H",2,2.5,2.195,2.195,"Colorless to gray-white; colorless in transmitted light.",Monoclinic,1868,0
702,Bogdanovite,"Au,Cu,Fe,Pb,Te",4.5,4.5,0,0,"Rose brown to bronze",Isometric,1978,0
703,Bøggildite,"Al,Na,Sr,O,P,F",4,5,3.66,3.66,"Translucent flesh red",Monoclinic,,0
704,Boggsite,"Al,Ca,Na,Si,O,H",3.5,3.5,1.98,1.98,"White, colourless",Orthorhombic,1990,0
705,Bøgvadite,"Al,Ba,Na,Sr,F",4,4,3.85,3.85,"Colourless",Monoclinic,,0
706,Bohdanowiczite,"Ag,Bi,Se",3,3.5,0,0,"Creamy-yellow to pink in reflected light",Trigonal,1967,0
707,Böhmite,"Al,O,H",3.5,3.5,3.02,3.05,"White, pale greyish brown; yellowish or reddish when impure; colourless in thin section",Orthorhombic,,0
709,Bokite,"Al,Fe,O,H,V",3,3,2.97,3.1,"Black",Monoclinic,,0
710,Bole,"",,,0,0,,,,0
711,Boleslavite,"",,,0,0,,,,0
712,Boleite,"Ag,Cl,Cu,Pb,O,K,H",3,3.5,5.054,5.054,"Deep prussian blue to indigo; bluish green in transmitted light",Isometric,1891,0
713,Bolivarite,"Al,O,P,H",2.5,2.5,1.97,2.05,"Pale greenish-yellow",Amorphous,1921,0
714,Bolivite,"",,,0,0,,,,0
